address,amount,
0x1330355f5181e5a865b35063427648a5aba9096e,255,
0x398ed195d2ada98421ac0b55bc3a5e581205e7db,29.75,
0xbd67f775d0d780c6a56c3e7428f174da6b0430c3,17,
0xc6868bf5a5b943de64bca6c8811f48aaf69a7e25,29.75,
0x22a291ca29dd1e854eaab9bd3dfb5322d39ed9da,35.7,
0xc22018ec5e8a33a316f69b163cad9ee3c67488f5,46.75,
0xfb3d00114578f77326540a70c7c4ccfdbfdc7110,29.75,
0x576a2656bf8e72c6ce61c4476b5df9218c0a1166,125.8,
0xa7898f63f31d692d37982696a0c907023cbb8b81,29.75,
0x7df67073c591dfe102295a8492dde45f9b0a112f,29.75,
0xbe11b5050bc3eaa5c4dbcc13d86d234f0d7636c5,29.75,
0x527e5c08d360f2b2a1c426245297dd2876c53a8b,125.8,
0xc202a9c0443f160c02b66fc416277ba490b91978,62.9,
0x45380858e3c8fd722a4d808060d917a9c4f0e0c2,46.75,
0x1f235a06d30d30f59a17fb0244937158e9ed721e,51,
0xff3f4bbe3913f702fe5356e272e7e64bd4a0c619,29.75,
0xa8f3d46fb994985de34a794fd208651e93e284d7,29.75,
0xd7ae62052b7e55c7a7627c3bbf10f44949559102,29.75,
0xa5ec0fe36ff49727ada0b1b365be8f91a6b9bdfb,55.25,
0x84d98d6d6775e7c5c52ed3fbb81ad2133d596bdf,197.2,
0x4ca144a5bd9512d8cf09f7e2f55720ce67db587b,29.75,
0x7fe7fe8663794ca6cc3b6bb4680bce03c026aa3a,159.8,
0xf92e633d15175ac2a52c1d8f3e3c53364442e709,29.75,
0x0f2543ddd8b0412d400c84cdb73b9dbb40249324,29.75,
0x5fb90d8b6313dcae55c80e488ce4e6272b601355,29.75,
0xcf4fe6bda67a639e0c0cbc0216818c161a1e5378,17,
0x8374cc36e4135e586b7d48b33bdf1583206798c7,29.75,
0x999850a2469e2b582b7ef0f3abed8b5e9773e6f3,29.75,
0x631088af5a770bee50ffa7dd5dc18994616dc1ff,29.75,
0x18b250a477fa0a38f8ee0384e7bbf05c891fa078,155.55,
0x4c321205f41cebf4a8437ca0b0402d7a10147e51,29.75,
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,80.75,
0x5034b07fea9cc8be1332eef67d682d087c79a2ab,29.75,
0x4ebf1d50630405f862aa5aca4817f9e3b2934901,170,
0xa3d46f946867780d909a5b372b0bee84f9f9ba87,29.75,
0xc596760503b4b215c82d16dd7929f976a728c271,566.1,
0x42a9dc9fd0dedb4abff9431bd80035c870241dbb,31.45,
0xc04df29424ee49395e962858eb0babd29b2c14e9,62.9,
0x1c452b10df490f2548a1389fb74961f1ed655e7d,51,
0xbb9df06f1be2516888ca887a948c6bcf8198ec43,29.75,
