Wallet,Reward
0x13b8c961a6c93cfcba09d8b8717b9fe41d10e71a,127.5
0xb989d5b95a4434b77388ea944427ec82adef319a,297.5
0x79b1f53fac3ed548b0a21a69b60d964ef38a855f,195.5
0x4b17e8da93352301807c8777bf6a65bcd0ec47b0,127.5
0x7ff518e3b208646714f088b18acfcdb9ca497361,42.5
0xf928fa7ffea1b98c055e9e2fc8c35448e4142484,3315
0xc4ac52b3fdf66f17baf995619e942c605de18ef9,42.5
0x0f1107048442f098387870939687778a1fcf937b,127.5
0x0d40fb7648ec5c04a3ea834ff7a010db062eeb93,170
0x51f1a6bb61a6f4df112f20bf2846b6342e530c0f,425
0x9af8c3b741afaac3c94ced58bc936b61e05c056c,42.5
0x8bd4671646582d51796d4f5fc55624011e9c9ddb,42.5
0x7cc804e1ac313ac66a9c77d949e7ac6f2e7d1cf4,4377.5
0x0c4bdfe0aebf69de4975a957a2d4fe72633bbc1a,2550
0xdfd8b10d7882c132fb11a2d0f6eb2e061ff0f587,212.5
0xe6494bac41e5ee1665874331fd2c82215c5b3a45,170
0x891185a2e42d3e8ff8992eb3420ee7716c68f6c5,190
0xa87b52386ad187bc7930d0a9ebfa94043cbbfa9a,8500
0x52c4c3705b0fcb57b9775f0d9a693ab27edd4440,1997.5
0x99f505d35e13be253ddd4d71b05ffc992ead14ab,986
0x442dbf02a37e1a51b11da2d42ea1833e4f5b5662,10200
0x9554bb50725fdb30357ff045843468b70b21880e,1190
0xd6a398abf19691890e6691290a9c92367468c782,2125
0xdfd2144eb8cc1212551d50b00b18a2fefcf6762b,408.5
0x023e2d565b02f851772cc5417700e7b4d30f2907,1140
0xce22221cecb0dc04eea6f1625fb70189e18009ff,2455.75
0x5fbd58baf8a396b5709f115e3b694cb5738f5fce,950
0xa78733d3f8dbd47fb543bdd3847c55af85d03150,2375
0xafcdbf98509f68021b007cb02e3a2f6acbba0b24,11666
0xa30b9fe39d9983df6a94b53c12ef6e44bcf1631c,425
0x4ed7b18310130ed390f7d436ac66be1509e11e07,170
0xedcaa27960bd503ef68651c32922a567e87a3607,127.5
0x7df618c193bffd172b2194a0b66f1c726f069d1e,25.5
0x1a7443b67a6dd5d6ba57e9eb6d3a0d1f4a300747,2337.5
0x551ec9b5d484ec5407edc4731060b980a8839ac7,170
0x6122a451766eaf7def2e113ac2b44c0675f28d10,7480
0x1dc7c58f26150304ab6d385e4950d760d4b1a81a,425
0xfd6df7315530abab39f2c870150c2efdfba57045,1912.5
0x866a87c161a5609f6be9b3f9b9c48174d4d969b9,42.5
0x3fa64e17b1239a7f94691b92ca44117d03fae92b,170
0x1e5a631a2bb4ce071bf24aa1e1dc28b0eda8ed88,901
0xaa46eba78cd3baabc47b971a40235acd067f5164,425
0x54804cbd6db2362656f743e4c4306dd4f98e6580,9680.5
0xa8a56ce8c5dbdd138c4a2177866c5c6266166b1c,170
0xc32f2eff8bbb71c41ec7f64f54832f0bc9821367,170
0xbbb815df7457a703aaff263343423f63c9b1f636,425
0x25350120c181d24f995f007de7d2d15d87262d62,3060
0x4c2ac25737836b9fa1b7a85b0fd63173eb44ce31,1530
0x9a02710019646974d4cd261836090281dddb1e1f,1700
0xf6a6fb9898fc79fa28fa18c96a8efedbd9815edf,42.5
0x52f81e0f6ec7f621dc932bb8ee84a9e02f4ad77f,4590
0x6bd3dd230d56848b7b14b524084b1f3c9bd47f20,850
0x61032578bc015986667301bb05934268e91f26a9,2185
0x1b698bbbf189904716b047b00c0359317d6ff029,42.5
0x92ec8341987e57b5cf3b4d936764fe989d87bf0d,42.5
0xaa11a90b392f56a3b1aec8ffbef2c14d6331c127,170
0xcdffc06adf7c7c0324769560986a075c206ddb3e,42.5
0xa5f025a341fb8def9b4c22af7c212906a3e3a8f6,950
0x821101f0704cedf3a32194fddd1a9c401495d59b,6023
0x401d3b307932a4a96feb2fda9878a9b5eb91a554,1275
0xf06e4b4e5ac5742dee3022b74b36d2e7e61441de,42.5
0x8a15e42672c1161479939ec6c1299ab1e481055f,2677.5
0x733ea12c2ec505ef7decc7bcd8e92eef5c3360b5,2295
0xb09534da21cf6e217611b928b9e99b5d93ad968b,1275
0x7c45a2c8dda60b21eab78b789c5b1371d27a0458,570
0x742a34ceefabed24dd43e8f1226769cc4185fff5,170
0xd2e2fb7b6f8aa7d605b1e8c4b9bfb0e277e9d55a,2167.5
0x41e6b53776992677425fb9aa0b536ac903715386,850
0xd32b3f6b78229eeab6b97d14d3e241e633270939,153
0xf7d31f6098297a9cdc4cd3008aca721d4a386901,4322.5
0x2b2d5b79229606c8bee35a08c63265369fad79db,2550
0x74cc8a3d6e635ed26feaef4e47c3796e4c16d13e,467.5
0xb764ec7beb219d74b463fc26ed72e5273146e702,25.5
0xc89b8dd7e3e137db108575eeae301e52b6c72d9f,1470.5
0x89f499dd5ecaf11201fd7ffabec1a4b0a2bcb99f,5057.5
0xfc8599b0c4e9c4541531fa49ba149812e3f10fe8,42.5
0xcab2c1566dfd7abac9739df94ef603a5b9638c67,1275
0xf58c9ae78fb100b5a9d9f70b51384396858d84bd,85
0x037cd1556a09784f83f8760269f4041f147611c6,8550
0x8b4c795d64a79f355432518b81e3c6544324352c,2612.5
0x3416aff81fb2f230ca7e968f0c61c5287e32a5af,1224
0x34aa402530aedc9b846ca903e7e379313f0d727e,9538
0xc6a265dfde65d5cab98375e75c5881354cd6566f,11238.5
0x3a8959e01af6c0b58d5825252b03e5ee84fd2966,7650
0x83f12ea77eb1424c20722c730afd110192d700b7,382.5
0x098e414537a78c322c7ffbb66068e3411b4b981a,374
0x7c6549a3b7c84c71e8b5829d8704d8ca664c1172,5142.5
0x7f26956e4ed1e0ece8ac8501e1f2b4373aad1a6c,340
0x95ddc55f740e6c7cebab638f7e8748c7826b56c8,935
0x47814C91626B0929c1A786846487eFdbA100846c,51
0x5293d6b249168223e141dfa71d43c84bd0653095,680
0x554dc3bfb0511a17ef022128b726e71206b5fe8d,42.5
0x03e67cfaf0c107844a02fa4233052afad4bd9272,950
0x9f33f80cdcce696629164c5e0bdbc978c46ac951,170
0xfb580003538ecaa8117132132116649e1adfbb32,170
0x0d4f7ecce6eb1319c237d68ba948d4e12a8a9fe1,25.5
0x9c0ff565272cef43253b46ed7d67bb402466a01c,170
0xa3cf34290c106a353e1d72a78307cf08bda4b834,42.5
0xc2f1485677c9805ad1db8d8375cc58daed9073da,127.5
0x726356cf0ed11183a093d5c454deb6f9543831f7,510
0xd7c3f6157c5a52197068ed332d342edabe82ba2e,595
0xf60ce84548134c57a102142e08ee14b36b2a0292,7092.4
0xa136dbddad3bcf0499a13b1c181b45f0290a181f,510
0x64aa9fc88cab3444236b461bd625068706cfdf14,807.5
0xea7c1aadce0fc411562dd219f1d12ee062cb376b,47.5
0xccde74bc42f2b6389177837567c1fb5c2c2257f7,153
0x4334861f8fdcfaa7171443d83f06cab47052145f,425
0xef1c6d6ae70e48030b0a0b0d97346105e94d41f7,4873.5
0xe0bb182db32ca277b60fc79288557d0276a97caa,47.5
0x1ac99bf8e9ae03d7f8dad8153cec12d764baf030,2550
0x8900b443b130b9e84af5ddeb567b080c48b2b769,127.5
0x9ed790b92ed5b7ccea6dc2c99cddfed2a35a2719,765
0xd4d5725f438242654bf95ec089d5f2be1cb2fae0,42.5
0x9f40f0e48f7cbe0ffd11d388c2bd780b42e93066,425
0xab71a525c9a7f0d9c3310654d6b4d59742ea2904,977.5
0x57a901ca3688d505234241d2d6f5a02ab41c0762,1615
0x4c99f7b818a8a8ef54c07c5b29fcd6e07f355f5b,85
0xadd5386854e73f45543136730faa9c27fe529d64,7692.5
0xd67bea641952c1e920c122108bde1d36e1c9d388,1425
0x4429f8362093602ad2c3697e901a9f0eeb1cf036,1164.5
0xb98925ee569a1bdbf7ef74c972a7148642a82118,380
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,1776.5
0xd678077149d7028800c86a36dd677bb292cf618f,42.5
0x6384fb2d60fa76d8d7586852116119de74333dfe,943.5
0xb6729a4406df3be0239e3f7def85370c8963403d,170
0xbb3759ec0699c8e56b75c21d7a26262ca39682e2,680
0xcaa53fa3c33da82bad0ddd0ac56b040700cbcbbe,4037.5
0x8db196e246de3137d5c02bd2018709b1f3b8e123,2850
0x25a6528593b52e76789204d24b1b2c07559f2c1b,187
0xe2b17b822ac373ed1ed5a0b6f06ff8fa878ed836,5100
0xb424fde3eb0d0235915832ac4c66e4e55798aac7,102
0xc5822ba39771c774759ee4cf9010a6084ccc2134,85
0x3fe829d0be55bd7a30f837f90e2eeea1e461d981,850
0xafd55eb54cab90e42aba7886a4f54d9a512c8c55,170
0x88453574485540a80c168bb80930ca40c1627adf,190
