address,address
0x84f1fb8f302afd715a1fb8efe52ac797b5b730d8,29.75
0x6337fd9847d7625e099d89f571f87ef49eb72400,29.75
0x12f80beefce7166c707c9a1afb374350e520c114,29.75
0x3f6a785995d6418199e5cf37a1b3333c2f61bb6a,29.75
0xb165ccbe5ef9c06e58d020d2c9d55a823fc00a89,29.75
0x3a409eabf26a555ef856ec0012862828bfe58c2d,29.75
0x4589eae0510e08510e1c5ff90d4d6b1d797eff95,29.75
0xf61f6da906cc257cba665f4029ae888122c84b17,29.75
0xb02a9aba18cb6a4e21e67b28f8111d0285d2044d,29.75
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,752.25
